ProductID,Name,ProductNumber,Color,StandardCost,ListPrice,Size,Weight,ProductCategoryID,ProductModelID,SellStartDate,SellEndDate,DiscontinuedDate,ThumbNailPhoto,ThumbnailPhotoFileName,rowguid,ModifiedDate
1221,New Product 1221 - Saddles,NP-M208,Black,219.6612,366.1,,2.81,19,102,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,BDBB611F-4FD8-4407-B838-C47BEC2D5EA9,2025-11-30 00:00:00.000
1222,New Product 1222 - Wheels,NP-M903,Blue,257.5972,429.33,,2.82,21,109,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,AED45FE8-4AC7-4860-AEEA-D919D3D1B81E,2025-11-30 00:00:00.000
1223,New Product 1223 - Bib-Shorts,NP-B768,Multi,69.236,115.39,,,22,96,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,FCF7134A-4892-4FB3-9A38-1115E806D694,2025-11-30 00:00:00.000
1224,New Product 1224 - Mountain Bikes,NP-Q395,Multi,891.8358,1486.39,46,1.69,5,17,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,9959C505-E784-4A62-BAA3-510FBAFF2818,2025-11-30 00:00:00.000
1225,New Product 1225 - Cranksets,NP-Q353,Black,177.0442,295.07,,5.71,12,62,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,51371A41-0B32-4291-BFFB-BE256F5A6A62,2025-11-30 00:00:00.000
1226,New Product 1226 - Touring Frames,NP-P980,Multi,206.8605,344.77,,4.81,20,43,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,A97D3752-4821-4793-979C-39B3AE88D7A0,2025-11-30 00:00:00.000
1227,New Product 1227 - Road Frames,NP-M527,Silver,216.5917,360.99,,9.79,18,124,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,C266E906-9538-4A72-B276-0F4BF7FE45B0,2025-11-30 00:00:00.000
1228,New Product 1228 - Helmets,NP-J916,Red,233.3863,388.98,,,35,62,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,510FF2D2-4698-4AB4-A6F0-B72F38772D87,2025-11-30 00:00:00.000
1229,New Product 1229 - Locks,NP-G892,Blue,278.5254,464.21,,,38,83,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,FA15BC78-48D9-46FA-B469-C5920A30AA8A,2025-11-30 00:00:00.000
1230,New Product 1230 - Tires and Tubes,NP-C749,Grey,213.2924,355.49,,,41,95,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,FECA28B7-0309-48A5-B6A3-55796CC0A25F,2025-11-30 00:00:00.000
1231,New Product 1231 - Bottom Brackets,NP-I164,Yellow,250.8399,418.07,,2.83,9,13,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,2317F028-82FD-44BA-ADED-9F6AD7E792EC,2025-11-30 00:00:00.000
1232,New Product 1232 - Pumps,NP-S901,Black,201.9021,336.5,,,40,83,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,6D964FA4-3FA3-47EA-826F-0269C92860D8,2025-11-30 00:00:00.000
1233,New Product 1233 - Headsets,NP-D772,,107.4585,179.1,,4.73,15,50,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,1A0C191E-45F1-4AE5-862C-CD3BD42FAB07,2025-11-30 00:00:00.000
1234,New Product 1234 - Forks,NP-I589,,178.5127,297.52,,6.09,14,116,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,1D044D40-0C00-4D04-BC56-1F7D0A8DF435,2025-11-30 00:00:00.000
1235,New Product 1235 - Helmets,NP-Y626,Red,122.825,204.71,,,35,47,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,1E61E1F4-F1DD-433C-91F3-29F8789A7B01,2025-11-30 00:00:00.000
1236,New Product 1236 - Locks,NP-X723,Grey,52.996,88.33,,,38,80,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,88F2765F-80B8-4317-A1CF-92CA26A7D79A,2025-11-30 00:00:00.000
1237,New Product 1237 - Bottles and Cages,NP-F483,White,129.8274,216.38,,,32,96,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,70FEE282-E74C-4C2A-9A0A-156B206D67C4,2025-11-30 00:00:00.000
1238,New Product 1238 - Handlebars,NP-E270,Blue,260.7607,434.6,,3.86,8,109,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,74A4F15C-A499-4D61-B127-B4EC4DC787CC,2025-11-30 00:00:00.000
1239,New Product 1239 - Saddles,NP-L908,White,188.4535,314.09,,7.43,19,57,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,F8D96048-0798-47DC-BE2D-17A43CAE2CAB,2025-11-30 00:00:00.000
1240,New Product 1240 - Cleaners,NP-S943,Red,193.1592,321.93,,,33,29,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,7AAB0DBD-BA3E-49FB-BF7B-453A865FADFB,2025-11-30 00:00:00.000
