SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,ShipToAddressID,BillToAddressID,ShipMethod,CreditCardApprovalCode,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate
122774,1,2025-11-29 00:00:00.000,2025-12-11 00:00:00.000,2025-12-04 00:00:00.000,5,1,SO122774,PO943818654,10-4020-003193,3193,11712,10323,XRQ - TRUCK GROUND,,571.5865,45.7269,17.476,634.7894,,C9ADFBBF-DF3E-414F-8506-209F1A496B80,2025-11-29 00:00:00.000
122775,1,2025-11-27 00:00:00.000,2025-12-09 00:00:00.000,2025-12-02 00:00:00.000,5,0,SO122775,PO992979797,10-4020-009339,9339,6659,2367,OVERNIGHT J-FAST,,1619.738,129.579,11.6331,1760.9501,,34EF35B6-19EB-4CE3-A5FE-2716C2818936,2025-11-27 00:00:00.000
122776,1,2025-11-21 00:00:00.000,2025-12-03 00:00:00.000,2025-11-26 00:00:00.000,5,0,SO122776,PO611405572,10-4020-009526,9526,7949,2677,CARGO TRANSPORT 5,,30.411,2.4329,28.6265,61.4704,,1E9E26DF-7F57-4B35-8A6B-F2CDAEE8C91E,2025-11-21 00:00:00.000
122777,1,2025-11-26 00:00:00.000,2025-12-08 00:00:00.000,2025-12-01 00:00:00.000,5,0,SO122777,PO840933505,10-4020-008566,8566,9710,8437,XRQ - TRUCK GROUND,,136.44,10.9152,37.697,185.0522,,F7EB09A2-89A2-4F3A-8B33-13C1CD6B24D8,2025-11-26 00:00:00.000
122778,1,2025-11-28 00:00:00.000,2025-12-10 00:00:00.000,2025-12-03 00:00:00.000,5,1,SO122778,PO193134416,10-4020-008124,8124,10531,5002,OVERNIGHT J-FAST,,335.393,26.8314,21.479,383.7034,,DEE4E793-7764-4D0F-B06E-D05036FB132D,2025-11-28 00:00:00.000
122779,1,2025-11-29 00:00:00.000,2025-12-11 00:00:00.000,2025-12-04 00:00:00.000,5,1,SO122779,PO248872121,10-4020-005628,5628,11296,10312,XRQ - TRUCK GROUND,,320.0005,25.6,34.8957,380.4962,,4B4E394F-0E88-4CFA-B498-AC731890D47A,2025-11-29 00:00:00.000
122780,1,2025-11-22 00:00:00.000,2025-12-04 00:00:00.000,2025-11-27 00:00:00.000,5,0,SO122780,PO451483255,10-4020-008578,8578,10219,3487,CARGO TRANSPORT 5,,1398.2595,111.8608,29.7836,1539.9039,,FFE85386-8FFA-4C36-96F0-ACDD7948AEE2,2025-11-22 00:00:00.000
122781,1,2025-11-27 00:00:00.000,2025-12-09 00:00:00.000,2025-12-02 00:00:00.000,5,1,SO122781,PO768717390,10-4020-007702,7702,10309,5398,XRQ - TRUCK GROUND,,702.79,56.2232,29.6565,788.6697,,866CC1BD-4FEB-4DFE-9D45-C3C92830F64C,2025-11-27 00:00:00.000
122782,1,2025-11-29 00:00:00.000,2025-12-11 00:00:00.000,2025-12-04 00:00:00.000,5,1,SO122782,PO720787776,10-4020-000371,371,129,3097,CARGO TRANSPORT 5,,2096.3295,167.7064,32.3868,2296.4227,,E79F8D0A-0F9E-4F8D-AE7C-205F90AEAF8D,2025-11-29 00:00:00.000
122783,1,2025-11-23 00:00:00.000,2025-12-05 00:00:00.000,2025-11-28 00:00:00.000,5,1,SO122783,PO575745317,10-4020-006511,6511,11498,880,CARGO TRANSPORT 5,,1287.646,103.0117,13.01,1403.6677,,4315EE2D-EAF9-4852-A4ED-9ACD010411A6,2025-11-23 00:00:00.000
